Scenario,I_int,v_out,Integrator,Clustering,Avg_path,Score_gap
ER,0.8593997549987328,0.655614524825655,0.4613041961910301,0.16982088307322749,1.9443196004993757,0.17594399346204603
SW,0.7748932403536224,0.6318418614616954,0.45179513923269854,0.18683398253315692,1.9947565543071162,0.23322992609937063
BA,0.9725839693660551,0.7438838999493552,0.46649859146265527,0.1784987404522168,1.9288389513108615,0.14892446407183274
